job,start_time,end_time,elapse,state,ip
mapping,58:21.6,58:51.1,29,COMPLETE,14.12.19.7
mapping,58:21.5,58:51.3,29,COMPLETE,14.12.27.120
mapping,58:21.6,58:50.6,28,COMPLETE,14.12.59.69
mapping,58:21.8,58:52.8,31,COMPLETE,14.12.50.201
mapping,58:21.6,58:52.7,31,COMPLETE,14.12.62.147
mapping,58:21.5,58:53.3,31,COMPLETE,14.12.24.146
mapping,58:21.4,58:53.5,32,COMPLETE,14.12.60.38
mapping,58:21.6,58:54.1,32,COMPLETE,14.12.18.169
mapping,58:21.5,58:53.2,31,COMPLETE,14.12.57.17
mapping,58:21.6,58:53.6,31,COMPLETE,14.12.23.56
mapping,58:21.6,58:53.8,32,COMPLETE,14.12.27.33
mapping,58:21.6,58:53.8,32,COMPLETE,14.12.21.136
mapping,58:21.5,58:52.6,31,COMPLETE,14.12.62.200
mapping,58:21.6,58:52.1,30,COMPLETE,14.12.51.122
mapping,58:21.5,58:53.6,32,COMPLETE,14.12.50.31
mapping,58:21.6,58:52.9,31,COMPLETE,14.12.57.226
mapping,58:21.7,58:54.1,32,COMPLETE,14.12.17.173
mapping,58:21.5,58:53.8,32,COMPLETE,14.12.51.73
mapping,58:21.5,58:52.3,30,COMPLETE,14.12.55.233
mapping,58:21.6,58:52.1,30,COMPLETE,14.12.59.151
mapping,58:21.7,58:53.5,31,COMPLETE,14.12.24.82
mapping,58:21.7,58:54.2,32,COMPLETE,14.12.23.69
mapping,58:21.6,58:51.8,30,COMPLETE,14.12.49.149
mapping,58:21.7,58:54.9,33,COMPLETE,14.12.31.69
mapping,58:21.6,58:56.2,34,COMPLETE,14.12.17.34
mapping,58:21.5,58:54.5,33,COMPLETE,14.12.62.107
mapping,58:21.5,58:56.2,34,COMPLETE,14.12.26.250
mapping,58:21.4,58:54.0,32,COMPLETE,14.12.23.245
mapping,58:21.6,58:56.4,34,COMPLETE,14.12.49.102
mapping,58:21.5,58:55.0,33,COMPLETE,14.12.62.252
mapping,58:21.6,58:56.5,34,COMPLETE,14.12.59.225
mapping,58:21.6,58:55.8,34,COMPLETE,14.12.29.156
mapping,58:21.6,58:56.1,34,COMPLETE,14.12.52.86
mapping,58:21.5,58:54.6,33,COMPLETE,14.12.17.121
mapping,58:21.5,58:55.8,34,COMPLETE,14.12.31.74
mapping,58:21.4,58:56.0,34,COMPLETE,14.12.62.57
mapping,58:21.6,58:54.9,33,COMPLETE,14.12.63.20
mapping,58:21.5,58:55.5,33,COMPLETE,14.12.23.212
mapping,58:21.6,58:56.5,34,COMPLETE,14.12.58.116
mapping,58:21.6,58:56.1,34,COMPLETE,14.12.50.48
