job,start_time,end_time,elapse,state,,
garther_bam,02:53.2,03:41.0,47,COMPLETE,,
garther_bam,02:53.3,03:42.6,49,COMPLETE,,
garther_bam,02:53.5,03:43.0,49,COMPLETE,,
garther_bam,02:53.3,03:45.3,52,COMPLETE,,
garther_bam,02:53.5,03:45.3,51,COMPLETE,,
garther_bam,02:53.5,03:45.1,51,COMPLETE,,
garther_bam,02:53.4,03:44.2,50,COMPLETE,,
garther_bam,02:53.5,03:44.6,51,COMPLETE,,
garther_bam,02:53.4,03:45.4,52,COMPLETE,,
garther_bam,02:53.2,03:44.7,51,COMPLETE,,
garther_bam,02:53.4,03:44.4,51,COMPLETE,,
garther_bam,02:53.5,03:44.1,50,COMPLETE,,
garther_bam,02:53.6,03:45.4,51,COMPLETE,,
garther_bam,02:53.3,03:44.7,51,COMPLETE,,
garther_bam,02:53.3,03:44.8,51,COMPLETE,,
garther_bam,02:53.3,03:43.6,50,COMPLETE,,
garther_bam,02:53.4,03:46.0,52,COMPLETE,,
garther_bam,02:53.3,03:46.0,52,COMPLETE,,
garther_bam,02:53.4,03:47.0,53,COMPLETE,,
garther_bam,02:53.6,03:46.2,52,COMPLETE,,
garther_bam,02:53.4,03:46.8,53,COMPLETE,,
garther_bam,02:53.4,03:47.4,53,COMPLETE,,
garther_bam,02:53.5,03:45.9,52,COMPLETE,,
garther_bam,02:53.5,03:45.9,52,COMPLETE,,
garther_bam,02:53.3,03:45.9,52,COMPLETE,,
garther_bam,02:53.4,03:45.6,52,COMPLETE,,
garther_bam,02:53.4,03:47.0,53,COMPLETE,,
garther_bam,02:53.5,03:46.8,53,COMPLETE,,
garther_bam,02:53.4,03:47.0,53,COMPLETE,,
garther_bam,02:53.3,03:46.1,52,COMPLETE,,
garther_bam,02:53.3,03:47.2,53,COMPLETE,,
garther_bam,02:53.4,03:47.2,53,COMPLETE,,
garther_bam,02:53.6,03:46.1,52,COMPLETE,,
garther_bam,02:53.7,03:47.4,53,COMPLETE,,
garther_bam,02:53.3,03:49.3,55,COMPLETE,,
garther_bam,02:53.4,03:48.1,54,COMPLETE,,
garther_bam,02:53.4,03:48.3,54,COMPLETE,,
garther_bam,02:53.5,03:48.8,55,COMPLETE,,
garther_bam,02:53.4,03:48.1,54,COMPLETE,,
garther_bam,02:53.4,03:48.7,55,COMPLETE,,
garther_bam,02:53.4,03:49.6,56,COMPLETE,,
garther_bam,02:53.4,03:48.6,55,COMPLETE,,
garther_bam,02:53.6,03:49.1,55,COMPLETE,,
garther_bam,02:53.5,03:49.0,55,COMPLETE,,
garther_bam,02:53.4,03:49.2,55,COMPLETE,,
garther_bam,02:53.5,03:47.7,54,COMPLETE,,
garther_bam,02:53.5,03:49.1,55,COMPLETE,,
garther_bam,02:53.5,03:48.0,54,COMPLETE,,
garther_bam,02:53.7,03:49.2,55,COMPLETE,,
garther_bam,02:53.5,03:48.5,55,COMPLETE,,
garther_bam,02:53.5,03:47.9,54,COMPLETE,,
garther_bam,02:53.5,03:48.4,54,COMPLETE,,
garther_bam,02:53.4,03:47.7,54,COMPLETE,,
garther_bam,02:53.4,03:48.5,55,COMPLETE,,
garther_bam,02:53.3,03:47.5,54,COMPLETE,,
garther_bam,02:53.5,03:49.7,56,COMPLETE,,
garther_bam,02:53.6,03:49.5,55,COMPLETE,,
garther_bam,02:53.4,03:47.6,54,COMPLETE,,
garther_bam,02:53.5,03:48.8,55,COMPLETE,,
garther_bam,02:53.5,03:48.2,54,COMPLETE,,
garther_bam,02:53.6,03:48.8,55,COMPLETE,,
garther_bam,02:53.5,03:48.5,54,COMPLETE,,
garther_bam,02:53.5,03:49.4,55,COMPLETE,,
garther_bam,02:53.3,03:48.3,55,COMPLETE,,
garther_bam,02:53.7,03:49.1,55,COMPLETE,,
garther_bam,02:53.7,03:48.7,55,COMPLETE,,
garther_bam,02:53.6,03:49.1,55,COMPLETE,,
garther_bam,02:53.7,03:48.4,54,COMPLETE,,
garther_bam,02:53.7,03:48.3,54,COMPLETE,,
garther_bam,02:53.7,03:49.2,55,COMPLETE,,
garther_bam,02:53.4,03:48.6,55,COMPLETE,,
garther_bam,02:53.3,03:50.9,57,COMPLETE,,
garther_bam,02:53.5,03:50.3,56,COMPLETE,,
garther_bam,02:53.5,03:51.3,57,COMPLETE,,
garther_bam,02:53.3,03:51.6,58,COMPLETE,,
garther_bam,02:53.4,03:49.8,56,COMPLETE,,
garther_bam,02:53.4,03:50.6,57,COMPLETE,,
garther_bam,02:53.4,03:50.1,56,COMPLETE,,
garther_bam,02:53.5,03:51.1,57,COMPLETE,,
garther_bam,02:53.4,03:49.8,56,COMPLETE,,
garther_bam,02:53.5,03:51.0,57,COMPLETE,,
garther_bam,02:53.4,03:50.7,57,COMPLETE,,
garther_bam,02:53.4,03:49.8,56,COMPLETE,,
garther_bam,02:53.3,03:51.3,58,COMPLETE,,
garther_bam,02:53.4,03:50.5,57,COMPLETE,,
garther_bam,02:53.3,03:50.1,56,COMPLETE,,
garther_bam,02:53.5,03:50.6,57,COMPLETE,,
garther_bam,02:53.5,03:49.9,56,COMPLETE,,
garther_bam,02:53.4,03:51.1,57,COMPLETE,,
garther_bam,02:53.4,03:51.5,58,COMPLETE,,
garther_bam,02:53.5,03:49.9,56,COMPLETE,,
garther_bam,02:53.5,03:50.9,57,COMPLETE,,
garther_bam,02:53.5,03:49.8,56,COMPLETE,,
garther_bam,02:53.5,03:51.7,58,COMPLETE,,
garther_bam,02:53.5,03:50.9,57,COMPLETE,,
garther_bam,02:53.4,03:50.9,57,COMPLETE,,
garther_bam,02:53.6,03:51.3,57,COMPLETE,,
garther_bam,02:53.5,03:49.8,56,COMPLETE,,
garther_bam,02:53.6,03:51.0,57,COMPLETE,,
garther_bam,02:53.5,03:51.3,57,COMPLETE,,
garther_bam,02:53.6,03:51.4,57,COMPLETE,,
garther_bam,02:53.6,03:50.0,56,COMPLETE,,
garther_bam,02:53.6,03:50.9,57,COMPLETE,,
garther_bam,02:53.7,03:50.8,57,COMPLETE,,
garther_bam,02:53.7,03:51.0,57,COMPLETE,,
garther_bam,02:53.5,03:49.6,56,COMPLETE,,
garther_bam,02:53.6,03:51.1,57,COMPLETE,,
garther_bam,02:53.5,03:49.5,56,COMPLETE,,
garther_bam,02:53.6,03:52.6,59,COMPLETE,,
garther_bam,02:53.7,03:52.7,58,COMPLETE,,
garther_bam,02:53.4,03:52.6,59,COMPLETE,,
garther_bam,02:53.1,03:52.1,59,COMPLETE,,
garther_bam,02:53.5,03:53.4,59,COMPLETE,,
garther_bam,02:53.4,03:53.5,60,COMPLETE,,
garther_bam,02:53.5,03:52.1,58,COMPLETE,,
garther_bam,02:53.6,03:52.9,59,COMPLETE,,
