job,start_time,end_time,elapse,state,ip,,,
bam_merge_and_sort,06:09.1,06:21.0,11,COMPLETE,14.12.58.146,,,
bam_merge_and_sort,06:09.1,06:21.0,11,COMPLETE,14.12.53.84,,,
bam_merge_and_sort,06:09.4,06:20.6,11,COMPLETE,14.12.18.250,,,
bam_merge_and_sort,06:08.8,06:20.6,11,COMPLETE,14.12.55.151,,,
bam_merge_and_sort,06:09.1,06:21.0,11,COMPLETE,14.12.22.156,,,
bam_merge_and_sort,06:08.8,06:21.7,12,COMPLETE,14.12.61.156,,,
bam_merge_and_sort,06:09.1,06:23.1,14,COMPLETE,14.12.53.135,,,
bam_merge_and_sort,06:08.8,06:22.6,13,COMPLETE,14.12.28.17,,,
bam_merge_and_sort,06:08.9,06:21.7,12,COMPLETE,14.12.19.193,,,
bam_merge_and_sort,06:08.8,06:21.5,12,COMPLETE,14.12.60.147,,,
bam_merge_and_sort,06:09.0,06:21.0,12,COMPLETE,14.12.62.39,,,
bam_merge_and_sort,06:08.9,06:22.4,13,COMPLETE,14.12.21.185,,,
bam_merge_and_sort,06:09.1,06:22.1,12,COMPLETE,14.12.48.62,,,
bam_merge_and_sort,06:08.8,06:23.1,14,COMPLETE,14.12.58.71,,,
bam_merge_and_sort,06:09.0,06:22.9,13,COMPLETE,14.12.22.252,,,
bam_merge_and_sort,06:08.9,06:23.1,14,COMPLETE,14.12.23.245,,,
bam_merge_and_sort,06:09.1,06:21.3,12,COMPLETE,14.12.16.31,,, 
bam_merge_and_sort,06:08.8,06:23.0,14,COMPLETE,14.12.19.109,,,
bam_merge_and_sort,06:09.1,06:22.5,13,COMPLETE,14.12.27.33,,,
bam_merge_and_sort,06:09.1,06:22.9,13,COMPLETE,14.12.54.105,,,
bam_merge_and_sort,06:09.0,06:22.7,13,COMPLETE,14.12.20.169,,,
bam_merge_and_sort,06:09.0,06:23.1,14,COMPLETE,14.12.24.160,,,
bam_merge_and_sort,06:09.1,06:21.6,12,COMPLETE,14.12.59.14,,,
bam_merge_and_sort,06:09.2,06:21.8,12,COMPLETE,14.12.18.216,,,
bam_merge_and_sort,06:09.1,06:21.7,12,COMPLETE,14.12.62.194,,,
bam_merge_and_sort,06:09.0,06:22.8,13,COMPLETE,14.12.50.61,,,
bam_merge_and_sort,06:09.1,06:23.3,14,COMPLETE,14.12.22.203,,,
bam_merge_and_sort,06:09.1,06:22.1,12,COMPLETE,14.12.48.216,,,
bam_merge_and_sort,06:08.8,06:22.2,13,COMPLETE,14.12.51.142,,,
bam_merge_and_sort,06:09.1,06:22.3,13,COMPLETE,14.12.29.206,,,
bam_merge_and_sort,06:09.2,06:21.4,12,COMPLETE,14.12.56.81,,,
bam_merge_and_sort,06:08.8,06:22.5,13,COMPLETE,14.12.59.211,,,
bam_merge_and_sort,06:08.9,06:21.3,12,COMPLETE,14.12.55.201,,,
bam_merge_and_sort,06:09.1,06:23.2,14,COMPLETE,14.12.56.86,,,
bam_merge_and_sort,06:09.1,06:21.7,12,COMPLETE,14.12.50.31,,,
bam_merge_and_sort,06:08.8,06:21.3,12,COMPLETE,14.12.28.248,,,
bam_merge_and_sort,06:09.1,06:21.7,12,COMPLETE,14.12.18.146,,,
bam_merge_and_sort,06:09.1,06:22.2,13,COMPLETE,14.12.26.211,,,
bam_merge_and_sort,06:09.4,06:22.3,12,COMPLETE,14.12.20.48,,,
bam_merge_and_sort,06:08.8,06:21.3,12,COMPLETE,14.12.53.128,,,
bam_merge_and_sort,06:08.7,06:22.3,13,COMPLETE,14.12.57.208,,,
bam_merge_and_sort,06:09.1,06:21.9,12,COMPLETE,14.12.29.14,,,
bam_merge_and_sort,06:08.9,06:22.0,13,COMPLETE,14.12.61.144,,,
bam_merge_and_sort,06:09.1,06:22.3,13,COMPLETE,14.12.48.108,,,
bam_merge_and_sort,06:09.0,06:22.5,13,COMPLETE,14.12.27.165,,,
bam_merge_and_sort,06:08.9,06:22.9,13,COMPLETE,14.12.22.53,,,
bam_merge_and_sort,06:08.9,06:22.6,13,COMPLETE,14.12.49.111,,,
bam_merge_and_sort,06:09.3,06:22.7,13,COMPLETE,14.12.56.123,,,
bam_merge_and_sort,06:09.1,06:22.8,13,COMPLETE,14.12.26.111,,,
bam_merge_and_sort,06:09.1,06:21.5,12,COMPLETE,14.12.50.87,,,
bam_merge_and_sort,06:09.3,06:23.1,13,COMPLETE,14.12.18.99,,,
bam_merge_and_sort,06:09.2,06:23.0,13,COMPLETE,14.12.59.30,,,
bam_merge_and_sort,06:09.1,06:22.7,13,COMPLETE,14.12.60.109,,,
bam_merge_and_sort,06:09.1,06:22.7,13,COMPLETE,14.12.63.45,,,
bam_merge_and_sort,06:09.1,06:21.5,12,COMPLETE,14.12.24.146,,,
bam_merge_and_sort,06:09.2,06:22.2,12,COMPLETE,14.12.16.27,,,
bam_merge_and_sort,06:09.1,06:21.8,12,COMPLETE,14.12.59.108,,,
bam_merge_and_sort,06:09.2,06:23.2,14,COMPLETE,14.12.31.165,,,
bam_merge_and_sort,06:09.1,06:23.0,13,COMPLETE,14.12.21.114,,,
bam_merge_and_sort,06:09.2,06:22.7,13,COMPLETE,14.12.57.78,,,
bam_merge_and_sort,06:09.1,06:22.6,13,COMPLETE,14.12.56.158,,,
bam_merge_and_sort,06:09.3,06:23.0,13,COMPLETE,14.12.22.4,,,
bam_merge_and_sort,06:09.0,06:23.1,14,COMPLETE,14.12.57.109,,,
bam_merge_and_sort,06:09.1,06:22.4,13,COMPLETE,14.12.23.212,,,
bam_merge_and_sort,06:09.2,06:21.7,12,COMPLETE,14.12.51.104,,,
bam_merge_and_sort,06:09.2,06:22.5,13,COMPLETE,14.12.63.119,,,
bam_merge_and_sort,06:09.2,06:23.1,13,COMPLETE,14.12.62.214,,,
bam_merge_and_sort,06:09.2,06:22.4,13,COMPLETE,14.12.26.216,,,
bam_merge_and_sort,06:08.9,06:22.9,14,COMPLETE,14.12.30.72,,,
bam_merge_and_sort,06:09.1,06:22.7,13,COMPLETE,14.12.24.45,,,
bam_merge_and_sort,06:09.2,06:22.9,13,COMPLETE,14.12.21.136,,,
bam_merge_and_sort,06:09.1,06:22.2,13,COMPLETE,14.12.21.56,,,
bam_merge_and_sort,06:09.2,06:21.4,12,COMPLETE,14.12.20.200,,,
bam_merge_and_sort,06:09.2,06:21.9,12,COMPLETE,14.12.49.102,,,
bam_merge_and_sort,06:09.1,06:22.4,13,COMPLETE,14.12.17.121,,,
bam_merge_and_sort,06:09.1,06:21.8,12,COMPLETE,14.12.57.190,,,
bam_merge_and_sort,06:08.9,06:20.9,12,COMPLETE,14.12.49.82,,,
bam_merge_and_sort,06:09.3,06:23.2,13,COMPLETE,14.12.20.213,,,
bam_merge_and_sort,06:09.2,06:21.5,12,COMPLETE,14.12.19.119,,,
bam_merge_and_sort,06:09.1,06:21.2,12,COMPLETE,14.12.30.19,,,
bam_merge_and_sort,06:09.3,06:22.8,13,COMPLETE,14.12.63.99,,,
bam_merge_and_sort,06:09.2,06:23.1,13,COMPLETE,14.12.23.56,,,
bam_merge_and_sort,06:09.4,06:23.1,13,COMPLETE,14.12.17.63,,,
bam_merge_and_sort,06:09.1,06:22.2,13,COMPLETE,14.12.51.27,,,
bam_merge_and_sort,06:09.3,06:22.1,12,COMPLETE,14.12.25.58,,,
bam_merge_and_sort,06:09.1,06:22.2,13,COMPLETE,14.12.57.26,,,
bam_merge_and_sort,06:08.9,06:21.8,12,COMPLETE,14.12.18.207,,,
bam_merge_and_sort,06:09.1,06:23.2,14,COMPLETE,14.12.16.103,,,
bam_merge_and_sort,06:09.2,06:23.0,13,COMPLETE,14.12.29.156,,,
bam_merge_and_sort,06:09.1,06:21.9,12,COMPLETE,14.12.26.34,,,
bam_merge_and_sort,06:08.9,06:23.1,14,COMPLETE,14.12.19.109,,,
bam_merge_and_sort,06:09.2,06:22.0,12,COMPLETE,14.12.29.56,,,
bam_merge_and_sort,06:09.4,06:23.2,13,COMPLETE,14.12.22.163,,,
bam_merge_and_sort,06:09.1,06:22.5,13,COMPLETE,14.12.58.106,,,
bam_merge_and_sort,06:09.2,06:23.3,14,COMPLETE,14.12.48.59,,,
bam_merge_and_sort,06:09.5,06:22.9,13,COMPLETE,14.12.21.21,,,
bam_merge_and_sort,06:09.5,06:23.7,14,COMPLETE,14.12.17.4,,,
bam_merge_and_sort,06:09.0,06:22.2,13,COMPLETE,14.12.20.226,,,
bam_merge_and_sort,06:09.2,06:22.3,13,COMPLETE,14.12.60.133,,,
bam_merge_and_sort,06:09.2,06:21.9,12,COMPLETE,14.12.30.125,,,
bam_merge_and_sort,06:09.3,06:23.3,13,COMPLETE,14.12.63.164,,,
bam_merge_and_sort,06:09.4,06:23.3,13,COMPLETE,14.12.23.187,,,
bam_merge_and_sort,06:09.4,06:23.2,13,COMPLETE,14.12.50.201,,,
bam_merge_and_sort,06:09.1,06:23.2,14,COMPLETE,14.12.26.28,,,
bam_merge_and_sort,06:09.2,06:22.1,12,COMPLETE,14.12.31.94,,,
bam_merge_and_sort,06:09.2,06:22.5,13,COMPLETE,14.12.62.252,,,
