job,start_time,end_time,elapse,state,ip
vcf,07:31.3,08:59.0,87,COMPLETE,14.12.60.38
vcf,07:31.8,08:58.3,86,COMPLETE,14.12.16.239
vcf,07:31.3,09:01.6,90,COMPLETE,14.12.22.60
vcf,07:31.5,09:01.1,89,COMPLETE,14.12.58.132
vcf,07:31.4,09:01.3,89,COMPLETE,14.12.23.212
vcf,07:31.5,09:01.8,90,COMPLETE,14.12.58.116
vcf,07:31.5,09:02.0,90,COMPLETE,14.12.26.211
vcf,07:31.4,09:01.9,90,COMPLETE,14.12.62.252
vcf,07:31.6,09:01.8,90,COMPLETE,14.12.17.173
vcf,07:31.6,09:00.4,88,COMPLETE,14.12.28.67
vcf,07:31.5,09:01.8,90,COMPLETE,14.12.54.105
vcf,07:31.6,09:04.0,92,COMPLETE,14.12.26.155
vcf,07:31.3,09:02.1,90,COMPLETE,14.12.19.193
vcf,07:31.5,09:04.1,92,COMPLETE,14.12.30.160
vcf,07:31.4,09:03.5,92,COMPLETE,14.12.20.214
vcf,07:31.7,09:03.3,91,COMPLETE,14.12.21.243
vcf,07:31.2,09:02.2,91,COMPLETE,14.12.61.144
vcf,07:31.4,09:03.3,91,COMPLETE,14.12.18.146
vcf,07:31.4,09:03.5,92,COMPLETE,14.12.58.106
vcf,07:31.4,09:04.1,92,COMPLETE,14.12.29.114
vcf,07:31.5,09:03.1,91,COMPLETE,14.12.54.65
vcf,07:31.5,09:03.3,91,COMPLETE,14.12.31.84
vcf,07:31.4,09:02.8,91,COMPLETE,14.12.59.5
vcf,07:31.5,09:03.2,91,COMPLETE,14.12.51.122
vcf,07:31.2,09:03.1,91,COMPLETE,14.12.55.164
vcf,07:31.4,09:03.4,91,COMPLETE,14.12.60.109
vcf,07:31.5,09:03.6,92,COMPLETE,14.12.51.52
vcf,07:31.5,09:03.0,91,COMPLETE,14.12.26.216
vcf,07:31.5,09:03.6,92,COMPLETE,14.12.60.194
vcf,07:31.5,09:03.2,91,COMPLETE,14.12.21.114
vcf,07:31.2,09:02.2,90,COMPLETE,14.12.60.147
vcf,07:31.4,09:04.5,93,COMPLETE,14.12.31.74
vcf,07:31.2,09:05.2,94,COMPLETE,14.12.59.211
vcf,07:31.5,09:04.9,93,COMPLETE,14.12.58.245
vcf,07:31.5,09:06.7,95,COMPLETE,14.12.31.134
vcf,07:31.4,09:04.6,93,COMPLETE,14.12.31.94
vcf,07:31.4,09:05.8,94,COMPLETE,14.12.51.243
vcf,07:31.1,09:06.0,94,COMPLETE,14.12.55.151
vcf,07:31.5,09:05.4,93,COMPLETE,14.12.23.56
vcf,07:31.4,09:06.1,94,COMPLETE,14.12.26.34
vcf,07:31.2,09:04.5,93,COMPLETE,14.12.51.56
vcf,07:31.5,09:04.9,93,COMPLETE,14.12.52.20
vcf,07:31.0,09:05.6,94,COMPLETE,14.12.58.133
vcf,07:31.4,09:05.2,93,COMPLETE,14.12.21.117
vcf,07:31.5,09:04.6,93,COMPLETE,14.12.57.249
vcf,07:31.4,09:05.6,94,COMPLETE,14.12.22.203
vcf,07:31.5,09:06.2,94,COMPLETE,14.12.53.149
vcf,07:31.5,09:05.5,94,COMPLETE,14.12.62.194
vcf,07:31.5,09:06.5,95,COMPLETE,14.12.50.48
vcf,07:31.4,09:05.3,93,COMPLETE,14.12.20.70
vcf,07:31.5,09:06.0,94,COMPLETE,14.12.17.34
vcf,07:31.3,09:05.2,93,COMPLETE,14.12.60.200
vcf,07:31.3,09:06.4,95,COMPLETE,14.12.27.165
vcf,07:31.5,09:04.8,93,COMPLETE,14.12.56.41
vcf,07:31.3,09:05.8,94,COMPLETE,14.12.29.96
vcf,07:31.6,09:06.3,94,COMPLETE,14.12.56.81
vcf,07:31.5,09:04.8,93,COMPLETE,14.12.59.106
vcf,07:31.5,09:05.0,93,COMPLETE,14.12.60.133
vcf,07:31.5,09:04.9,93,COMPLETE,14.12.24.104
vcf,07:31.4,09:05.2,93,COMPLETE,14.12.57.109
vcf,07:31.5,09:05.7,94,COMPLETE,14.12.23.193
vcf,07:31.5,09:06.1,94,COMPLETE,14.12.56.196
vcf,07:31.5,09:05.4,93,COMPLETE,14.12.48.67
vcf,07:31.6,09:04.7,93,COMPLETE,14.12.24.82
vcf,07:31.2,09:04.3,93,COMPLETE,14.12.58.71
vcf,07:31.5,09:04.5,92,COMPLETE,14.12.23.88
vcf,07:31.4,09:04.8,93,COMPLETE,14.12.62.83
vcf,07:31.5,09:07.7,96,COMPLETE,14.12.26.111
vcf,07:31.2,09:07.8,96,COMPLETE,14.12.53.128
vcf,07:31.5,09:08.0,96,COMPLETE,14.12.59.151
vcf,07:31.4,09:08.5,97,COMPLETE,14.12.55.27
vcf,07:31.1,09:06.5,95,COMPLETE,14.12.49.82
vcf,07:31.3,09:07.0,95,COMPLETE,14.12.22.53
vcf,07:31.2,09:06.8,95,COMPLETE,14.12.55.201
vcf,07:31.4,09:07.0,95,COMPLETE,14.12.53.84
vcf,07:31.4,09:06.8,95,COMPLETE,14.12.27.120
vcf,07:31.5,09:08.3,96,COMPLETE,14.12.16.27
vcf,07:31.6,09:07.7,96,COMPLETE,14.12.56.123
vcf,07:31.3,09:07.8,96,COMPLETE,14.12.29.56
vcf,07:31.5,09:09.6,98,COMPLETE,14.12.20.213
vcf,07:31.4,09:09.0,97,COMPLETE,14.12.51.27
vcf,07:31.3,09:10.1,98,COMPLETE,14.12.23.158
vcf,07:31.4,09:10.0,98,COMPLETE,14.12.21.136
vcf,07:31.2,09:09.1,97,COMPLETE,14.12.26.115
vcf,07:31.2,09:08.8,97,COMPLETE,14.12.30.72
vcf,07:31.4,09:09.6,98,COMPLETE,14.12.54.83
vcf,07:31.7,09:11.1,99,COMPLETE,14.12.21.21
vcf,07:31.2,09:08.8,97,COMPLETE,14.12.25.99
vcf,07:31.5,09:09.1,97,COMPLETE,14.12.21.252
vcf,07:31.4,09:12.3,100,COMPLETE,14.12.51.104
vcf,07:31.4,09:13.3,101,COMPLETE,14.12.19.44
vcf,07:31.6,09:12.8,101,COMPLETE,14.12.54.244
vcf,07:31.5,09:13.2,101,COMPLETE,14.12.51.75
vcf,07:31.7,09:13.8,102,COMPLETE,14.12.31.123
vcf,07:31.6,09:13.4,101,COMPLETE,14.12.27.42
vcf,07:31.2,09:11.6,100,COMPLETE,14.12.54.254
vcf,07:31.4,09:11.9,100,COMPLETE,14.12.16.103
vcf,07:31.8,09:13.2,101,COMPLETE,14.12.31.194
vcf,07:31.3,09:14.7,103,COMPLETE,14.12.62.107
vcf,07:31.4,09:14.9,103,COMPLETE,14.12.30.19
vcf,07:31.6,09:15.8,104,COMPLETE,14.12.62.116
vcf,07:31.4,09:15.5,104,COMPLETE,14.12.56.136
vcf,07:31.4,09:14.8,103,COMPLETE,14.12.62.214
vcf,07:31.2,09:14.9,103,COMPLETE,14.12.19.109
vcf,07:31.8,09:14.2,102,COMPLETE,14.12.16.148
vcf,07:31.4,09:14.8,103,COMPLETE,14.12.19.124
vcf,07:31.6,09:14.9,103,COMPLETE,14.12.63.164
vcf,07:31.3,09:14.8,103,COMPLETE,14.12.48.170
vcf,07:31.4,09:14.8,103,COMPLETE,14.12.57.26
vcf,07:31.5,09:15.0,103,COMPLETE,14.12.58.146
